Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=120.EXR.D.USD.EUR.SP00.A
,EXR.D.USD.EUR.SP00.A
,"ECB reference exchange rate, US dollar/Euro, 2:15 pm (C.E.T.)"
Collection:,Average of observations through period (A)
Period\Unit:,[US dollar ]
date,value,status
2016-12-19,1.0422,Normal value (A)
2016-12-16,1.0439,Normal value (A)
2016-12-15,1.0419,Normal value (A)
2016-12-14,1.0644,Normal value (A)
2016-12-13,1.0610,Normal value (A)
2016-12-12,1.0596,Normal value (A)
2016-12-09,1.0559,Normal value (A)
2016-12-08,1.0762,Normal value (A)
2016-12-07,1.0730,Normal value (A)
2016-12-06,1.0734,Normal value (A)
2016-12-05,1.0702,Normal value (A)
2016-12-02,1.0642,Normal value (A)
2016-12-01,1.0627,Normal value (A)
2016-11-30,1.0635,Normal value (A)
2016-11-29,1.0576,Normal value (A)
2016-11-28,1.0588,Normal value (A)
2016-11-25,1.0592,Normal value (A)
2016-11-24,1.0548,Normal value (A)
2016-11-23,1.0602,Normal value (A)
2016-11-22,1.0617,Normal value (A)
2016-11-21,1.0631,Normal value (A)
2016-11-18,1.0629,Normal value (A)
2016-11-17,1.0717,Normal value (A)
2016-11-16,1.0702,Normal value (A)
2016-11-15,1.0765,Normal value (A)
2016-11-14,1.0777,Normal value (A)
2016-11-11,1.0904,Normal value (A)
2016-11-10,1.0895,Normal value (A)
2016-11-09,1.1022,Normal value (A)
2016-11-08,1.1038,Normal value (A)
2016-11-07,1.1062,Normal value (A)
2016-11-04,1.1093,Normal value (A)
2016-11-03,1.1064,Normal value (A)
2016-11-02,1.1095,Normal value (A)
2016-11-01,1.1025,Normal value (A)
2016-10-31,1.0946,Normal value (A)
2016-10-28,1.0922,Normal value (A)
2016-10-27,1.0927,Normal value (A)
2016-10-26,1.0925,Normal value (A)
2016-10-25,1.0872,Normal value (A)
2016-10-24,1.0891,Normal value (A)
2016-10-21,1.0886,Normal value (A)
2016-10-20,1.0980,Normal value (A)
2016-10-19,1.0979,Normal value (A)
2016-10-18,1.0993,Normal value (A)
2016-10-17,1.0994,Normal value (A)
2016-10-14,1.1002,Normal value (A)
2016-10-13,1.1038,Normal value (A)
2016-10-12,1.1020,Normal value (A)
2016-10-11,1.1079,Normal value (A)
2016-10-10,1.1160,Normal value (A)
2016-10-07,1.1140,Normal value (A)
2016-10-06,1.1185,Normal value (A)
2016-10-05,1.1211,Normal value (A)
2016-10-04,1.1161,Normal value (A)
2016-10-03,1.1236,Normal value (A)
2016-09-30,1.1161,Normal value (A)
2016-09-29,1.1221,Normal value (A)
2016-09-28,1.1225,Normal value (A)
2016-09-27,1.1220,Normal value (A)
2016-09-26,1.1262,Normal value (A)
2016-09-23,1.1214,Normal value (A)
2016-09-22,1.1238,Normal value (A)
2016-09-21,1.1150,Normal value (A)
2016-09-20,1.1184,Normal value (A)
2016-09-19,1.1165,Normal value (A)
2016-09-16,1.1226,Normal value (A)
2016-09-15,1.1254,Normal value (A)
2016-09-14,1.1218,Normal value (A)
2016-09-13,1.1247,Normal value (A)
2016-09-12,1.1226,Normal value (A)
2016-09-09,1.1268,Normal value (A)
2016-09-08,1.1296,Normal value (A)
2016-09-07,1.1237,Normal value (A)
2016-09-06,1.1159,Normal value (A)
2016-09-05,1.1156,Normal value (A)
2016-09-02,1.1193,Normal value (A)
2016-09-01,1.1146,Normal value (A)
2016-08-31,1.1132,Normal value (A)
2016-08-30,1.1168,Normal value (A)
2016-08-29,1.1170,Normal value (A)
2016-08-26,1.1290,Normal value (A)
2016-08-25,1.1290,Normal value (A)
2016-08-24,1.1268,Normal value (A)
2016-08-23,1.1339,Normal value (A)
2016-08-22,1.1306,Normal value (A)
2016-08-19,1.1326,Normal value (A)
2016-08-18,1.1321,Normal value (A)
2016-08-17,1.1276,Normal value (A)
2016-08-16,1.1295,Normal value (A)
2016-08-15,1.1180,Normal value (A)
2016-08-12,1.1158,Normal value (A)
2016-08-11,1.1153,Normal value (A)
2016-08-10,1.1184,Normal value (A)
2016-08-09,1.1078,Normal value (A)
2016-08-08,1.1087,Normal value (A)
2016-08-05,1.1156,Normal value (A)
2016-08-04,1.1136,Normal value (A)
2016-08-03,1.1200,Normal value (A)
2016-08-02,1.1193,Normal value (A)
2016-08-01,1.1164,Normal value (A)
2016-07-29,1.1113,Normal value (A)
2016-07-28,1.1090,Normal value (A)
2016-07-27,1.0991,Normal value (A)
2016-07-26,1.0997,Normal value (A)
2016-07-25,1.0982,Normal value (A)
2016-07-22,1.1014,Normal value (A)
2016-07-21,1.1015,Normal value (A)
2016-07-20,1.1013,Normal value (A)
2016-07-19,1.1035,Normal value (A)
2016-07-18,1.1053,Normal value (A)
2016-07-15,1.1128,Normal value (A)
2016-07-14,1.1157,Normal value (A)
2016-07-13,1.1072,Normal value (A)
2016-07-12,1.1092,Normal value (A)
2016-07-11,1.1049,Normal value (A)
2016-07-08,1.1070,Normal value (A)
2016-07-07,1.1080,Normal value (A)
2016-07-06,1.1069,Normal value (A)
2016-07-05,1.1146,Normal value (A)
2016-07-04,1.1138,Normal value (A)
2016-07-01,1.1135,Normal value (A)
2016-06-30,1.1102,Normal value (A)
2016-06-29,1.1090,Normal value (A)
2016-06-28,1.1073,Normal value (A)
2016-06-27,1.0998,Normal value (A)
2016-06-24,1.1066,Normal value (A)
2016-06-23,1.1389,Normal value (A)
2016-06-22,1.1283,Normal value (A)
2016-06-21,1.1314,Normal value (A)
2016-06-20,1.1332,Normal value (A)
2016-06-17,1.1254,Normal value (A)
2016-06-16,1.1174,Normal value (A)
2016-06-15,1.1230,Normal value (A)
2016-06-14,1.1225,Normal value (A)
2016-06-13,1.1268,Normal value (A)
2016-06-10,1.1304,Normal value (A)
2016-06-09,1.1343,Normal value (A)
2016-06-08,1.1378,Normal value (A)
2016-06-07,1.1348,Normal value (A)
2016-06-06,1.1349,Normal value (A)
2016-06-03,1.1154,Normal value (A)
2016-06-02,1.1188,Normal value (A)
2016-06-01,1.1174,Normal value (A)
2016-05-31,1.1154,Normal value (A)
2016-05-30,1.1139,Normal value (A)
2016-05-27,1.1168,Normal value (A)
2016-05-26,1.1168,Normal value (A)
2016-05-25,1.1146,Normal value (A)
2016-05-24,1.1168,Normal value (A)
2016-05-23,1.1215,Normal value (A)
2016-05-20,1.1219,Normal value (A)
2016-05-19,1.1197,Normal value (A)
2016-05-18,1.1279,Normal value (A)
2016-05-17,1.1318,Normal value (A)
2016-05-16,1.1324,Normal value (A)
2016-05-13,1.1348,Normal value (A)
2016-05-12,1.1389,Normal value (A)
2016-05-11,1.1409,Normal value (A)
2016-05-10,1.1375,Normal value (A)
2016-05-09,1.1395,Normal value (A)
2016-05-06,1.1427,Normal value (A)
2016-05-05,1.1439,Normal value (A)
2016-05-04,1.1505,Normal value (A)
2016-05-03,1.1569,Normal value (A)
2016-05-02,1.1493,Normal value (A)
2016-04-29,1.1403,Normal value (A)
2016-04-28,1.1358,Normal value (A)
2016-04-27,1.1303,Normal value (A)
2016-04-26,1.1287,Normal value (A)
2016-04-25,1.1264,Normal value (A)
2016-04-22,1.1263,Normal value (A)
2016-04-21,1.1355,Normal value (A)
2016-04-20,1.1379,Normal value (A)
2016-04-19,1.1343,Normal value (A)
2016-04-18,1.1306,Normal value (A)
2016-04-15,1.1284,Normal value (A)
2016-04-14,1.1252,Normal value (A)
2016-04-13,1.1298,Normal value (A)
2016-04-12,1.1396,Normal value (A)
2016-04-11,1.1390,Normal value (A)
2016-04-08,1.1363,Normal value (A)
2016-04-07,1.1364,Normal value (A)
2016-04-06,1.1336,Normal value (A)
2016-04-05,1.1367,Normal value (A)
2016-04-04,1.1380,Normal value (A)
2016-04-01,1.1432,Normal value (A)
2016-03-31,1.1385,Normal value (A)
2016-03-30,1.1324,Normal value (A)
2016-03-29,1.1194,Normal value (A)
2016-03-24,1.1154,Normal value (A)
2016-03-23,1.1171,Normal value (A)
2016-03-22,1.1212,Normal value (A)
2016-03-21,1.1271,Normal value (A)
2016-03-18,1.1279,Normal value (A)
2016-03-17,1.1311,Normal value (A)
2016-03-16,1.1064,Normal value (A)
2016-03-15,1.1109,Normal value (A)
2016-03-14,1.1119,Normal value (A)
2016-03-11,1.1090,Normal value (A)
2016-03-10,1.0857,Normal value (A)
2016-03-09,1.0973,Normal value (A)
2016-03-08,1.1028,Normal value (A)
2016-03-07,1.0953,Normal value (A)
2016-03-04,1.0970,Normal value (A)
2016-03-03,1.0901,Normal value (A)
2016-03-02,1.0856,Normal value (A)
2016-03-01,1.0872,Normal value (A)
2016-02-29,1.0888,Normal value (A)
2016-02-26,1.1006,Normal value (A)
2016-02-25,1.1027,Normal value (A)
2016-02-24,1.0981,Normal value (A)
2016-02-23,1.1002,Normal value (A)
2016-02-22,1.1026,Normal value (A)
2016-02-19,1.1096,Normal value (A)
2016-02-18,1.1084,Normal value (A)
2016-02-17,1.1136,Normal value (A)
2016-02-16,1.1166,Normal value (A)
2016-02-15,1.1180,Normal value (A)
2016-02-12,1.1275,Normal value (A)
2016-02-11,1.1347,Normal value (A)
2016-02-10,1.1257,Normal value (A)
2016-02-09,1.1236,Normal value (A)
2016-02-08,1.1101,Normal value (A)
2016-02-05,1.1202,Normal value (A)
2016-02-04,1.1206,Normal value (A)
2016-02-03,1.0933,Normal value (A)
2016-02-02,1.0919,Normal value (A)
2016-02-01,1.0884,Normal value (A)
2016-01-29,1.0920,Normal value (A)
2016-01-28,1.0903,Normal value (A)
2016-01-27,1.0888,Normal value (A)
2016-01-26,1.0837,Normal value (A)
2016-01-25,1.0815,Normal value (A)
2016-01-22,1.0808,Normal value (A)
2016-01-21,1.0893,Normal value (A)
2016-01-20,1.0907,Normal value (A)
2016-01-19,1.0868,Normal value (A)
2016-01-18,1.0892,Normal value (A)
2016-01-15,1.0914,Normal value (A)
2016-01-14,1.0893,Normal value (A)
2016-01-13,1.0816,Normal value (A)
2016-01-12,1.0836,Normal value (A)
2016-01-11,1.0888,Normal value (A)
2016-01-08,1.0861,Normal value (A)
2016-01-07,1.0868,Normal value (A)
2016-01-06,1.0742,Normal value (A)
2016-01-05,1.0746,Normal value (A)
2016-01-04,1.0898,Normal value (A)
2015-12-31,1.0887,Normal value (A)
2015-12-30,1.0926,Normal value (A)
2015-12-29,1.0952,Normal value (A)
2015-12-28,1.0962,Normal value (A)
2015-12-24,1.0947,Normal value (A)
2015-12-23,1.0916,Normal value (A)
2015-12-22,1.0952,Normal value (A)
2015-12-21,1.0870,Normal value (A)
2015-12-18,1.0836,Normal value (A)
2015-12-17,1.0841,Normal value (A)
2015-12-16,1.0933,Normal value (A)
2015-12-15,1.0990,Normal value (A)
2015-12-14,1.0983,Normal value (A)
2015-12-11,1.0950,Normal value (A)
2015-12-10,1.0943,Normal value (A)
2015-12-09,1.0941,Normal value (A)
2015-12-08,1.0875,Normal value (A)
2015-12-07,1.0809,Normal value (A)
2015-12-04,1.0902,Normal value (A)
2015-12-03,1.0671,Normal value (A)
2015-12-02,1.0612,Normal value (A)
2015-12-01,1.0600,Normal value (A)
2015-11-30,1.0579,Normal value (A)
2015-11-27,1.0580,Normal value (A)
2015-11-26,1.0612,Normal value (A)
2015-11-25,1.0586,Normal value (A)
2015-11-24,1.0651,Normal value (A)
2015-11-23,1.0631,Normal value (A)
2015-11-20,1.0688,Normal value (A)
2015-11-19,1.0687,Normal value (A)
2015-11-18,1.0666,Normal value (A)
2015-11-17,1.0670,Normal value (A)
2015-11-16,1.0723,Normal value (A)
2015-11-13,1.0764,Normal value (A)
2015-11-12,1.0726,Normal value (A)
2015-11-11,1.0716,Normal value (A)
2015-11-10,1.0711,Normal value (A)
2015-11-09,1.0776,Normal value (A)
2015-11-06,1.0864,Normal value (A)
2015-11-05,1.0883,Normal value (A)
2015-11-04,1.0935,Normal value (A)
2015-11-03,1.0976,Normal value (A)
2015-11-02,1.1032,Normal value (A)
2015-10-30,1.1017,Normal value (A)
2015-10-29,1.0930,Normal value (A)
2015-10-28,1.1085,Normal value (A)
2015-10-27,1.1061,Normal value (A)
2015-10-26,1.1011,Normal value (A)
2015-10-23,1.1084,Normal value (A)
2015-10-22,1.1313,Normal value (A)
2015-10-21,1.1354,Normal value (A)
2015-10-20,1.1373,Normal value (A)
2015-10-19,1.1333,Normal value (A)
2015-10-16,1.1360,Normal value (A)
2015-10-15,1.1439,Normal value (A)
2015-10-14,1.1410,Normal value (A)
2015-10-13,1.1374,Normal value (A)
2015-10-12,1.1373,Normal value (A)
2015-10-09,1.1362,Normal value (A)
2015-10-08,1.1254,Normal value (A)
2015-10-07,1.1266,Normal value (A)
2015-10-06,1.1224,Normal value (A)
2015-10-05,1.1236,Normal value (A)
2015-10-02,1.1160,Normal value (A)
2015-10-01,1.1153,Normal value (A)
2015-09-30,1.1203,Normal value (A)
2015-09-29,1.1204,Normal value (A)
2015-09-28,1.1170,Normal value (A)
2015-09-25,1.1151,Normal value (A)
2015-09-24,1.1241,Normal value (A)
2015-09-23,1.1150,Normal value (A)
2015-09-22,1.1155,Normal value (A)
2015-09-21,1.1250,Normal value (A)
2015-09-18,1.1419,Normal value (A)
2015-09-17,1.1312,Normal value (A)
2015-09-16,1.1228,Normal value (A)
2015-09-15,1.1320,Normal value (A)
2015-09-14,1.1305,Normal value (A)
2015-09-11,1.1268,Normal value (A)
2015-09-10,1.1185,Normal value (A)
2015-09-09,1.1139,Normal value (A)
2015-09-08,1.1162,Normal value (A)
2015-09-07,1.1146,Normal value (A)
2015-09-04,1.1138,Normal value (A)
2015-09-03,1.1229,Normal value (A)
2015-09-02,1.1255,Normal value (A)
2015-09-01,1.1236,Normal value (A)
2015-08-31,1.1215,Normal value (A)
2015-08-28,1.1268,Normal value (A)
2015-08-27,1.1284,Normal value (A)
2015-08-26,1.1402,Normal value (A)
2015-08-25,1.1506,Normal value (A)
2015-08-24,1.1497,Normal value (A)
2015-08-21,1.1281,Normal value (A)
2015-08-20,1.1183,Normal value (A)
2015-08-19,1.1041,Normal value (A)
2015-08-18,1.1060,Normal value (A)
2015-08-17,1.1100,Normal value (A)
2015-08-14,1.1171,Normal value (A)
2015-08-13,1.1109,Normal value (A)
2015-08-12,1.1155,Normal value (A)
2015-08-11,1.1055,Normal value (A)
2015-08-10,1.0960,Normal value (A)
2015-08-07,1.0941,Normal value (A)
2015-08-06,1.0885,Normal value (A)
2015-08-05,1.0883,Normal value (A)
2015-08-04,1.0973,Normal value (A)
2015-08-03,1.0951,Normal value (A)
2015-07-31,1.0967,Normal value (A)
2015-07-30,1.0955,Normal value (A)
2015-07-29,1.1030,Normal value (A)
2015-07-28,1.1025,Normal value (A)
2015-07-27,1.1058,Normal value (A)
2015-07-24,1.0939,Normal value (A)
2015-07-23,1.0999,Normal value (A)
2015-07-22,1.0902,Normal value (A)
2015-07-21,1.0867,Normal value (A)
2015-07-20,1.0852,Normal value (A)
2015-07-17,1.0889,Normal value (A)
2015-07-16,1.0867,Normal value (A)
2015-07-15,1.1009,Normal value (A)
2015-07-14,1.1031,Normal value (A)
2015-07-13,1.1049,Normal value (A)
2015-07-10,1.1185,Normal value (A)
2015-07-09,1.1054,Normal value (A)
2015-07-08,1.1024,Normal value (A)
2015-07-07,1.0931,Normal value (A)
2015-07-06,1.1008,Normal value (A)
2015-07-03,1.1096,Normal value (A)
2015-07-02,1.1066,Normal value (A)
2015-07-01,1.1100,Normal value (A)
2015-06-30,1.1189,Normal value (A)
2015-06-29,1.1133,Normal value (A)
2015-06-26,1.1202,Normal value (A)
2015-06-25,1.1206,Normal value (A)
2015-06-24,1.1213,Normal value (A)
2015-06-23,1.1204,Normal value (A)
2015-06-22,1.1345,Normal value (A)
2015-06-19,1.1299,Normal value (A)
2015-06-18,1.1404,Normal value (A)
2015-06-17,1.1279,Normal value (A)
2015-06-16,1.1215,Normal value (A)
2015-06-15,1.1218,Normal value (A)
2015-06-12,1.1220,Normal value (A)
2015-06-11,1.1232,Normal value (A)
2015-06-10,1.1279,Normal value (A)
2015-06-09,1.1249,Normal value (A)
2015-06-08,1.1162,Normal value (A)
2015-06-05,1.1218,Normal value (A)
2015-06-04,1.1317,Normal value (A)
2015-06-03,1.1134,Normal value (A)
2015-06-02,1.1029,Normal value (A)
2015-06-01,1.0944,Normal value (A)
2015-05-29,1.0970,Normal value (A)
2015-05-28,1.0896,Normal value (A)
2015-05-27,1.0863,Normal value (A)
2015-05-26,1.0926,Normal value (A)
2015-05-25,1.0978,Normal value (A)
2015-05-22,1.1164,Normal value (A)
2015-05-21,1.1133,Normal value (A)
2015-05-20,1.1118,Normal value (A)
2015-05-19,1.1180,Normal value (A)
2015-05-18,1.1389,Normal value (A)
2015-05-15,1.1328,Normal value (A)
2015-05-14,1.1419,Normal value (A)
2015-05-13,1.1221,Normal value (A)
2015-05-12,1.1239,Normal value (A)
2015-05-11,1.1142,Normal value (A)
2015-05-08,1.1221,Normal value (A)
2015-05-07,1.1305,Normal value (A)
2015-05-06,1.1230,Normal value (A)
2015-05-05,1.1117,Normal value (A)
2015-05-04,1.1152,Normal value (A)
2015-04-30,1.1215,Normal value (A)
2015-04-29,1.1002,Normal value (A)
2015-04-28,1.0927,Normal value (A)
2015-04-27,1.0822,Normal value (A)
2015-04-24,1.0824,Normal value (A)
2015-04-23,1.0772,Normal value (A)
2015-04-22,1.0743,Normal value (A)
2015-04-21,1.0700,Normal value (A)
2015-04-20,1.0723,Normal value (A)
2015-04-17,1.0814,Normal value (A)
2015-04-16,1.0711,Normal value (A)
2015-04-15,1.0579,Normal value (A)
2015-04-14,1.0564,Normal value (A)
2015-04-13,1.0552,Normal value (A)
2015-04-10,1.0570,Normal value (A)
2015-04-09,1.0774,Normal value (A)
2015-04-08,1.0862,Normal value (A)
2015-04-07,1.0847,Normal value (A)
2015-04-02,1.0830,Normal value (A)
2015-04-01,1.0755,Normal value (A)
2015-03-31,1.0759,Normal value (A)
2015-03-30,1.0845,Normal value (A)
2015-03-27,1.0856,Normal value (A)
2015-03-26,1.0973,Normal value (A)
2015-03-25,1.0985,Normal value (A)
2015-03-24,1.0950,Normal value (A)
2015-03-23,1.0912,Normal value (A)
2015-03-20,1.0776,Normal value (A)
2015-03-19,1.0677,Normal value (A)
2015-03-18,1.0592,Normal value (A)
2015-03-17,1.0635,Normal value (A)
2015-03-16,1.0557,Normal value (A)
2015-03-13,1.0572,Normal value (A)
2015-03-12,1.0613,Normal value (A)
2015-03-11,1.0578,Normal value (A)
2015-03-10,1.0738,Normal value (A)
2015-03-09,1.0860,Normal value (A)
2015-03-06,1.0963,Normal value (A)
2015-03-05,1.1069,Normal value (A)
2015-03-04,1.1124,Normal value (A)
2015-03-03,1.1168,Normal value (A)
2015-03-02,1.1227,Normal value (A)
2015-02-27,1.1240,Normal value (A)
2015-02-26,1.1317,Normal value (A)
2015-02-25,1.1346,Normal value (A)
2015-02-24,1.1328,Normal value (A)
2015-02-23,1.1298,Normal value (A)
2015-02-20,1.1298,Normal value (A)
2015-02-19,1.1387,Normal value (A)
2015-02-18,1.1372,Normal value (A)
2015-02-17,1.1415,Normal value (A)
2015-02-16,1.1408,Normal value (A)
2015-02-13,1.1381,Normal value (A)
2015-02-12,1.1328,Normal value (A)
2015-02-11,1.1314,Normal value (A)
2015-02-10,1.1297,Normal value (A)
2015-02-09,1.1275,Normal value (A)
2015-02-06,1.1447,Normal value (A)
2015-02-05,1.1410,Normal value (A)
2015-02-04,1.1446,Normal value (A)
2015-02-03,1.1376,Normal value (A)
2015-02-02,1.1310,Normal value (A)
2015-01-30,1.1305,Normal value (A)
2015-01-29,1.1315,Normal value (A)
2015-01-28,1.1344,Normal value (A)
2015-01-27,1.1306,Normal value (A)
2015-01-26,1.1244,Normal value (A)
2015-01-23,1.1198,Normal value (A)
2015-01-22,1.1618,Normal value (A)
2015-01-21,1.1593,Normal value (A)
2015-01-20,1.1579,Normal value (A)
2015-01-19,1.1605,Normal value (A)
2015-01-16,1.1588,Normal value (A)
2015-01-15,1.1708,Normal value (A)
2015-01-14,1.1775,Normal value (A)
2015-01-13,1.1782,Normal value (A)
2015-01-12,1.1804,Normal value (A)
2015-01-09,1.1813,Normal value (A)
2015-01-08,1.1768,Normal value (A)
2015-01-07,1.1831,Normal value (A)
2015-01-06,1.1914,Normal value (A)
2015-01-05,1.1915,Normal value (A)
2015-01-02,1.2043,Normal value (A)
2014-12-31,1.2141,Normal value (A)
2014-12-30,1.2160,Normal value (A)
2014-12-29,1.2197,Normal value (A)
2014-12-24,1.2219,Normal value (A)
2014-12-23,1.2213,Normal value (A)
2014-12-22,1.2259,Normal value (A)
2014-12-19,1.2279,Normal value (A)
2014-12-18,1.2285,Normal value (A)
2014-12-17,1.2448,Normal value (A)
2014-12-16,1.2537,Normal value (A)
2014-12-15,1.2426,Normal value (A)
2014-12-12,1.2450,Normal value (A)
2014-12-11,1.2428,Normal value (A)
2014-12-10,1.2392,Normal value (A)
2014-12-09,1.2369,Normal value (A)
2014-12-08,1.2258,Normal value (A)
2014-12-05,1.2362,Normal value (A)
2014-12-04,1.2311,Normal value (A)
2014-12-03,1.2331,Normal value (A)
2014-12-02,1.2424,Normal value (A)
2014-12-01,1.2469,Normal value (A)
2014-11-28,1.2483,Normal value (A)
2014-11-27,1.2480,Normal value (A)
2014-11-26,1.2475,Normal value (A)
2014-11-25,1.2424,Normal value (A)
2014-11-24,1.2410,Normal value (A)
2014-11-21,1.2422,Normal value (A)
2014-11-20,1.2539,Normal value (A)
2014-11-19,1.2535,Normal value (A)
2014-11-18,1.2514,Normal value (A)
2014-11-17,1.2496,Normal value (A)
2014-11-14,1.2436,Normal value (A)
2014-11-13,1.2456,Normal value (A)
2014-11-12,1.2467,Normal value (A)
2014-11-11,1.2424,Normal value (A)
2014-11-10,1.2486,Normal value (A)
2014-11-07,1.2393,Normal value (A)
2014-11-06,1.2517,Normal value (A)
2014-11-05,1.2480,Normal value (A)
2014-11-04,1.2514,Normal value (A)
2014-11-03,1.2493,Normal value (A)
2014-10-31,1.2524,Normal value (A)
2014-10-30,1.2598,Normal value (A)
2014-10-29,1.2737,Normal value (A)
2014-10-28,1.2748,Normal value (A)
2014-10-27,1.2679,Normal value (A)
2014-10-24,1.2659,Normal value (A)
2014-10-23,1.2669,Normal value (A)
2014-10-22,1.2693,Normal value (A)
2014-10-21,1.2762,Normal value (A)
2014-10-20,1.2773,Normal value (A)
2014-10-17,1.2823,Normal value (A)
2014-10-16,1.2749,Normal value (A)
2014-10-15,1.2666,Normal value (A)
2014-10-14,1.2646,Normal value (A)
2014-10-13,1.2679,Normal value (A)
2014-10-10,1.2638,Normal value (A)
2014-10-09,1.2763,Normal value (A)
2014-10-08,1.2645,Normal value (A)
2014-10-07,1.2607,Normal value (A)
2014-10-06,1.2565,Normal value (A)
2014-10-03,1.2616,Normal value (A)
2014-10-02,1.2631,Normal value (A)
2014-10-01,1.2603,Normal value (A)
2014-09-30,1.2583,Normal value (A)
2014-09-29,1.2701,Normal value (A)
2014-09-26,1.2732,Normal value (A)
2014-09-25,1.2712,Normal value (A)
2014-09-24,1.2826,Normal value (A)
2014-09-23,1.2892,Normal value (A)
2014-09-22,1.2845,Normal value (A)
2014-09-19,1.2852,Normal value (A)
2014-09-18,1.2872,Normal value (A)
2014-09-17,1.2956,Normal value (A)
2014-09-16,1.2949,Normal value (A)
2014-09-15,1.2911,Normal value (A)
2014-09-12,1.2931,Normal value (A)
2014-09-11,1.2928,Normal value (A)
2014-09-10,1.2929,Normal value (A)
2014-09-09,1.2902,Normal value (A)
2014-09-08,1.2947,Normal value (A)
2014-09-05,1.2948,Normal value (A)
2014-09-04,1.3015,Normal value (A)
2014-09-03,1.3151,Normal value (A)
2014-09-02,1.3115,Normal value (A)
2014-09-01,1.3133,Normal value (A)
2014-08-29,1.3188,Normal value (A)
2014-08-28,1.3178,Normal value (A)
2014-08-27,1.3177,Normal value (A)
2014-08-26,1.3192,Normal value (A)
2014-08-25,1.3200,Normal value (A)
2014-08-22,1.3267,Normal value (A)
2014-08-21,1.3262,Normal value (A)
2014-08-20,1.3284,Normal value (A)
2014-08-19,1.3354,Normal value (A)
2014-08-18,1.3383,Normal value (A)
2014-08-15,1.3388,Normal value (A)
2014-08-14,1.3373,Normal value (A)
2014-08-13,1.3360,Normal value (A)
2014-08-12,1.3346,Normal value (A)
2014-08-11,1.3386,Normal value (A)
2014-08-08,1.3388,Normal value (A)
2014-08-07,1.3368,Normal value (A)
2014-08-06,1.3345,Normal value (A)
2014-08-05,1.3382,Normal value (A)
2014-08-04,1.3422,Normal value (A)
2014-08-01,1.3395,Normal value (A)
2014-07-31,1.3379,Normal value (A)
2014-07-30,1.3401,Normal value (A)
2014-07-29,1.3429,Normal value (A)
2014-07-28,1.3433,Normal value (A)
2014-07-25,1.3440,Normal value (A)
2014-07-24,1.3472,Normal value (A)
2014-07-23,1.3465,Normal value (A)
2014-07-22,1.3481,Normal value (A)
2014-07-21,1.3518,Normal value (A)
2014-07-18,1.3525,Normal value (A)
2014-07-17,1.3525,Normal value (A)
2014-07-16,1.3532,Normal value (A)
2014-07-15,1.3613,Normal value (A)
2014-07-14,1.3627,Normal value (A)
2014-07-11,1.3595,Normal value (A)
2014-07-10,1.3604,Normal value (A)
2014-07-09,1.3603,Normal value (A)
2014-07-08,1.3589,Normal value (A)
2014-07-07,1.3592,Normal value (A)
2014-07-04,1.3588,Normal value (A)
2014-07-03,1.3646,Normal value (A)
2014-07-02,1.3656,Normal value (A)
2014-07-01,1.3688,Normal value (A)
2014-06-30,1.3658,Normal value (A)
2014-06-27,1.3620,Normal value (A)
2014-06-26,1.3606,Normal value (A)
2014-06-25,1.3615,Normal value (A)
2014-06-24,1.3618,Normal value (A)
2014-06-23,1.3596,Normal value (A)
2014-06-20,1.3588,Normal value (A)
2014-06-19,1.3620,Normal value (A)
2014-06-18,1.3563,Normal value (A)
2014-06-17,1.3568,Normal value (A)
2014-06-16,1.3532,Normal value (A)
2014-06-13,1.3534,Normal value (A)
2014-06-12,1.3528,Normal value (A)
2014-06-11,1.3547,Normal value (A)
2014-06-10,1.3547,Normal value (A)
2014-06-09,1.3608,Normal value (A)
2014-06-06,1.3642,Normal value (A)
2014-06-05,1.3567,Normal value (A)
2014-06-04,1.3627,Normal value (A)
2014-06-03,1.3645,Normal value (A)
2014-06-02,1.3611,Normal value (A)
2014-05-30,1.3607,Normal value (A)
2014-05-29,1.3612,Normal value (A)
2014-05-28,1.3608,Normal value (A)
2014-05-27,1.3638,Normal value (A)
2014-05-26,1.3635,Normal value (A)
2014-05-23,1.3630,Normal value (A)
2014-05-22,1.3668,Normal value (A)
2014-05-21,1.3676,Normal value (A)
2014-05-20,1.3702,Normal value (A)
2014-05-19,1.3715,Normal value (A)
2014-05-16,1.3696,Normal value (A)
2014-05-15,1.3659,Normal value (A)
2014-05-14,1.3719,Normal value (A)
2014-05-13,1.3703,Normal value (A)
2014-05-12,1.3765,Normal value (A)
2014-05-09,1.3781,Normal value (A)
2014-05-08,1.3953,Normal value (A)
2014-05-07,1.3927,Normal value (A)
2014-05-06,1.3945,Normal value (A)
2014-05-05,1.3874,Normal value (A)
2014-05-02,1.3862,Normal value (A)
2014-04-30,1.3850,Normal value (A)
2014-04-29,1.3826,Normal value (A)
2014-04-28,1.3861,Normal value (A)
2014-04-25,1.3831,Normal value (A)
2014-04-24,1.3820,Normal value (A)
2014-04-23,1.3834,Normal value (A)
2014-04-22,1.3817,Normal value (A)
2014-04-17,1.3855,Normal value (A)
2014-04-16,1.3840,Normal value (A)
2014-04-15,1.3803,Normal value (A)
2014-04-14,1.3827,Normal value (A)
2014-04-11,1.3872,Normal value (A)
2014-04-10,1.3867,Normal value (A)
2014-04-09,1.3794,Normal value (A)
2014-04-08,1.3774,Normal value (A)
