Date,Value
2011-10-31,12.11
2011-09-30,11.11
2011-08-31,11.11
2011-07-31,11.2
2011-06-30,10.0
2011-05-31,10.02
2011-04-30,10.03
2011-03-31,9.12
2011-02-28,9.14
2011-01-31,9.19
2010-12-31,8.73
2010-11-30,8.71
2010-10-31,8.64
2010-09-30,8.49
2010-08-31,8.57
2010-07-31,8.48
2010-06-30,8.06
2010-05-31,7.87
2010-04-30,8.35
2010-03-31,7.59
2010-02-28,7.59
2010-01-31,7.59
2009-12-31,6.45
2009-11-30,6.45
2009-10-31,6.45
2009-09-30,6.18
2009-08-31,6.18
2009-07-31,6.79
2009-06-30,8.6
2009-05-31,8.6
2009-04-30,8.6
2009-03-31,11.47
2009-02-28,14.47
2009-01-31,16.02
2008-12-31,16.02
2008-11-30,16.02
2008-10-31,16.02
2008-09-30,14.36
2008-08-31,14.36
2008-07-31,14.36
2008-06-30,11.9
2008-05-31,11.9
2008-04-30,11.9
2008-03-31,10.27
2008-02-29,10.27
2008-01-31,10.27
2007-12-31,8.56
2007-11-30,8.56
2007-10-31,8.56
2007-09-30,7.79
2007-08-31,7.79
2007-07-31,7.79
2007-06-30,7.83
2007-05-31,7.83
2007-04-30,7.83
2007-03-31,8.39
2007-02-28,8.39
2007-01-31,8.39
2006-12-31,8.65
2006-11-30,8.65
2006-10-31,8.65
2006-09-30,8.4
2006-08-31,8.4
2006-07-31,8.4
2006-06-30,8.14
2006-05-31,8.14
2006-04-30,8.14
2006-03-31,7.66
2006-02-28,7.66
2006-01-31,7.66
2005-12-31,6.96
2005-11-30,6.96
2005-10-31,6.96
2005-09-30,6.13
2005-08-31,6.13
2005-07-31,6.13
2005-06-30,5.51
2005-05-31,5.51
2005-04-30,5.51
2005-03-31,5.06
2005-02-28,5.06
2005-01-31,5.06
2004-12-31,4.34
2004-11-30,4.34
2004-10-31,4.34
2004-09-30,3.81
2004-08-31,3.81
2004-07-31,3.81
2004-06-30,3.48
2004-05-31,3.48
2004-04-30,3.48
2004-03-31,3.39
2004-02-29,3.39
2004-01-31,3.39
2003-12-31,3.6
2003-11-30,3.6
2003-10-31,3.6
2003-09-30,3.61
2003-08-31,3.61
2003-07-31,3.61
2003-06-30,3.58
2003-05-31,3.57777777777778
2003-04-30,3.57777777777778
2003-03-31,3.17037037037036
2003-02-28,3.15
2003-01-31,3.15
2002-12-31,2.81363636363636
2002-11-30,2.78
2002-10-31,2.78
2002-09-30,2.53238095238095
2002-08-31,2.52
2002-07-31,2.52
2002-06-30,2.56
2002-05-31,2.56
2002-04-30,2.56
2002-03-31,2.79
2002-02-28,2.79
2002-01-31,2.79
2001-12-31,3.21857142857142
2001-11-30,3.24
2001-10-31,3.24
2001-09-30,3.78
2001-08-31,3.78
2001-07-31,3.78
2001-06-30,4.26
2001-05-31,4.26
2001-04-30,4.26
2001-03-31,4.22
2001-02-28,4.22
2001-01-31,4.22
2000-12-31,3.93
2000-11-30,3.93
2000-10-31,3.93
2000-09-30,3.59
2000-08-31,3.59
2000-07-31,3.59
2000-06-30,3.24
2000-05-31,3.24
2000-04-30,3.24
2000-03-31,3.05555555555556
2000-02-29,3.05555555555556
2000-01-31,3.05555555555556
1999-12-31,2.03888888888889
1999-11-30,2.03888888888889
1999-10-31,2.03888888888889
1999-09-30,1.73
1999-08-31,1.73
1999-07-31,1.73
1999-06-30,1.67
1999-05-31,1.67
1999-04-30,1.67
1999-03-31,1.78888888888889
1999-02-28,1.78888888888889
1999-01-31,1.78888888888889
1998-12-31,1.91000005933974
1998-11-30,1.91000005933974
1998-10-31,1.91000005933974
1998-09-30,2.20999993218316
1998-08-31,2.20999993218316
1998-07-31,2.20999993218316
1998-06-30,2.36999999152289
1998-05-31,2.36999999152289
1998-04-30,2.36999999152289
1998-03-31,2.48999998304579
1998-02-28,2.48999998304579
1998-01-31,2.48999998304579
1997-12-31,2.44999991522895
1997-11-30,2.44999991522895
1997-10-31,2.44999991522895
1997-09-30,2.59999995761447
1997-08-31,2.59999995761447
1997-07-31,2.59999995761447
