Date,oil_eur_mwh,gas_eur_mwh,coal_eur_mwh
2017-10-17,28.77768283094868,17.505205849915196,12.496709274049005
2017-10-18,28.80217656048391,17.520105165473893,12.649320951776346
2017-10-19,28.59529934165333,17.39426361240094,12.3235389004245
2017-10-20,28.63401357328867,17.417813131591874,12.333502078311602
2017-10-21,28.63401357328867,17.417813131591874,12.333502078311602
2017-10-22,28.63401357328867,17.417813131591874,12.333502078311602
2017-10-23,28.824256593622277,17.53353625120552,12.320722534545808
2017-10-24,28.77278908333692,17.50222902722156,12.332492261393849
2017-10-25,28.714193670693717,17.466585964289585,12.341077676447881
2017-10-26,28.792374066972304,17.514142396762765,12.35440356151852
2017-10-27,29.159566773729036,17.737502420435394,12.621474677873326
2017-10-28,29.159566773729036,17.737502420435394,12.621474677873326
2017-10-29,29.159566773729036,17.737502420435394,12.621474677873326
2017-10-30,29.14198866768218,17.726809816496104,12.641228107239765
2017-10-31,29.07688369214002,17.27186193475385,12.845043951703715
2017-11-01,31.776979818298557,17.31053472241348,12.94220972884071
2017-11-02,31.686929124094704,17.261479535995303,12.86460701197733
2017-11-03,31.65430982672067,17.243710148122616,12.667383583149672
2017-11-04,31.65430982672067,17.243710148122616,12.667383583149672
2017-11-05,31.65430982672067,17.243710148122616,12.667383583149672
2017-11-06,31.83729850302699,17.343393373310207,12.857120862217908
2017-11-07,31.914399727562955,17.385394325952717,12.81955655870395
2017-11-08,31.83729850302699,17.343393373310207,12.74746524718833
2017-11-09,31.727797906283993,17.283742837202517,12.662642433197803
2017-11-10,31.66245835336218,17.248149064412676,12.766066194842493
2017-11-11,31.66245835336218,17.248149064412676,12.766066194842493
2017-11-12,31.66245835336218,17.248149064412676,12.766066194842493
2017-11-13,31.657025536211638,17.245189533001486,12.757061054268817
2017-11-14,31.41713832695469,17.11451078728525,12.383107740905771
2017-11-15,31.165058247473215,16.97718996593457,12.330711395261627
2017-11-16,31.347743577443108,17.07670794296706,12.153312958357557
2017-11-17,31.283958427306725,17.04196093231584,12.014099742984058
